w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,Lmr1_uH
5.6,2.2,7,5.6,11.6,25.6,0,0.5,14,28,0.14,0.05,2,11,0.07,0.03,0.1,0.12,0.8,3.2,3.9,4.5,16,5,0.3,0.5,4.2,3.9,0.35,2,1.84421343005522
4.4,9.4,13,4.4,8,25.6,0,0.51,14,16,0.105,0.03,2,18,0.175,0.03,0.1,0.4,0.8,0.7,3.7,2.7,14,24,0.9,1.5,1.9,3.1,0.61,2.4,1.85171273346437
6.8,2.2,4.6,4.4,23.6,25.6,0,0.51,14,28,0.175,0.06,2,14,0.14,0.01,0.1,0.14,2.5,1.8,4.4,3.2,10,6,3.9,2.4,0.1,2.1,1.03,2.7,1.85433274119108
10.4,1,8.2,3.2,12.8,30.4,0,0.51,14,31,0.105,0.02,2,29,0.14,0.1,0.1,0.45,1.4,3.5,4.8,4.9,23,20,3.6,0.5,0.1,4.7,0.15,3.2,1.85666795003627
6.8,3.4,10.6,3.2,15.2,24.4,0,0.5,14,31,0.175,0.1,2,19,0.14,0.03,0.1,0.12,1.2,1.6,4.5,2.7,10,9,4.2,2.9,4,3.9,0.99,2.3,1.87364980982227
6.8,1,2.2,10.4,14,49.6,0,0.51,14,27,0.035,0.03,2,18,0.105,0.1,0.1,0.3,1.4,0.2,3.9,4,24,21,5,1.1,1.7,0.8,0.1,1.2,1.88543593334741
8,1,4.6,5.6,8,12.4,0,0.5,14,32,0.105,0.04,2,20,0.175,0.09,0.1,0.28,0.5,3.6,3.9,4.2,14,0,1.8,2.6,1,3,0.29,1.1,1.90078297458375
5.6,11.8,4.6,3.2,4.4,7.6,0,0.5,14,11,0.175,0.08,2,10,0.175,0.01,0.1,0.35,0.5,1.3,1.2,4.8,5,27,3.7,3.9,2.6,2.4,0.49,1,1.9297954600137
5.6,13,7,3.2,5.6,8.8,0,0.5,14,7,0.105,0.09,2,23,0.105,0.1,0.1,0.4,0.4,0.8,3.1,2.7,16,4,2.9,4.5,2.6,1,0.11,1.8,1.9341114265802
5.6,2.2,9.4,5.6,5.6,4,0,0.5,14,33,0.105,0.03,2,22,0.14,0.02,0.1,0.38,0.4,2.3,2.3,4.1,17,9,0.2,0.9,1.9,3.7,0.31,1.4,1.93684533143413
6.8,7,9.4,3.2,4.4,44.8,0,0.5,14,35,0.14,0.06,2,29,0.105,0.02,0.1,0.32,0.3,1.4,1.5,3.5,12,4,0.1,0.8,3.6,4.6,0.13,1.4,1.95340777806783
3.2,3.4,9.4,12.8,5.6,43.6,0,0.5,14,16,0.175,0.07,2,32,0.14,0.07,0.1,0.29,0.7,0.6,2.5,1.5,10,3,2.9,4.2,1.1,1.1,0.25,1.4,1.96710331337043
5.6,2.2,4.6,6.8,20,34,0,0.51,14,32,0.14,0.04,2,24,0.14,0.1,0.1,0.25,2,2.5,5,4.8,28,7,0.7,2.1,2.7,2.7,1.12,4.3,1.97101660145653
12.8,1,10.6,2,10.4,12.4,0,0.5,14,14,0.035,0.02,2,26,0.175,0.06,0.1,0.48,0.9,1.1,4.4,4.2,4,15,4.5,1.4,2,0.5,0.69,1.4,1.99330855513551
4.4,3.4,7,9.2,6.8,44.8,0,0.5,14,28,0.035,0.02,2,13,0.07,0.03,0.1,0.1,0.6,2.4,4.9,1.5,20,8,3.1,1.2,4.9,2.1,0.47,1.3,2.00104403974796
4.4,2.2,9.4,10.4,14,53.2,0,0.51,14,35,0.175,0.02,2,10,0.14,0.03,0.1,0.1,1.3,2,3.7,5,4,17,1.5,3.2,1.6,3.4,0.79,1.7,2.01109840765966
8,1,4.6,6.8,6.8,5.2,0,0.51,14,9,0.14,0.08,2,34,0.175,0.03,0.1,0.08,0.7,1.1,4.6,4.3,14,5,2.1,2.1,0.9,1.5,0.47,1.3,2.0307405852632
6.8,1,2.2,14,9.2,18.4,0,0.5,14,19,0.14,0.06,2,21,0.035,0.01,0.1,0.16,0.7,1.1,4.8,4.1,2,4,0.6,2.2,1.2,4.4,0.15,3.8,2.03538051014394
8,5.8,1,3.2,12.8,34,0,0.51,14,35,0.105,0.04,2,4,0.175,0.05,0.1,0.12,1.3,1.2,5,2.1,16,26,1.8,0.4,2.5,3.6,0.17,1.7,2.05238128777995
14,1,10.6,2,9.2,14.8,0,0.5,14,30,0.105,0.09,2,18,0.105,0.04,0.1,0.08,0.9,2.2,3.7,4.3,28,20,0.2,3.8,2.9,1.1,0.45,2.3,2.07365201467409
8,1,4.6,6.8,8,7.6,0,0.51,14,11,0.105,0.03,2,24,0.175,0.01,0.1,0.28,0.9,0.8,2.1,1.8,12,4,0.1,4.3,2.9,2.9,0.31,1.1,2.07422817613405
6.8,1,8.2,9.2,9.2,52,0,0.5,14,11,0.14,0.07,2,8,0.175,0.01,0.1,0.38,0.8,0.5,3.3,4.9,29,13,3.2,3.9,2.8,4.8,0.25,1.1,2.07913567642601
8,1,9.4,6.8,18.8,32.8,0,0.51,14,29,0.175,0.01,2,19,0.07,0.01,0.1,0.43,2.1,2.3,3.8,3.2,6,0,3.7,2.3,4.7,4.4,0.2,2,2.08547355267172
5.6,8.2,9.4,4.4,16.4,35.2,0,0.5,14,23,0.14,0.06,2,9,0.105,0.05,0.1,0.02,1.4,2.8,3.8,3.6,27,29,1.4,0.9,3.6,1,0.42,1.7,2.10120518093982
16.4,1,4.6,2,9.2,53.2,0,0.51,14,21,0.105,0.02,2,25,0.07,0.06,0.1,0.1,0.9,2,4.5,4.4,6,11,3.5,1.4,3.4,0.6,0.22,2.3,2.11294856592384
6.8,2.2,3.4,5.6,23.6,35.2,0,0.51,14,31,0.14,0.1,2,34,0.14,0.03,0.1,0.24,2.7,1.6,4.9,3.2,8,19,1.3,1.5,4.9,4.9,0.75,2.6,2.14204760968251
6.8,3.4,5.8,4.4,6.8,13.6,0,0.5,14,33,0.175,0.1,2,33,0.07,0.02,0.1,0.22,0.3,2.6,3.8,3.8,7,1,4.5,1,2,4.7,0.14,2.2,2.15010272700314
8,1,3.4,8,8,17.2,0,0.5,14,27,0.14,0.07,2,23,0.07,0.03,0.1,0.39,0.9,0.8,3.1,1.8,3,6,0.5,3.9,1,0.9,0.17,1.1,2.15083555116546
3.2,4.6,7,12.8,4.4,36.4,0,0.5,14,25,0.175,0.09,2,28,0.14,0.05,0.1,0.24,0.5,2.2,2.4,3.1,1,15,3.2,4.5,0.4,0.2,0.39,1,2.16130913123761
5.6,9.4,11.8,4.4,3.2,31.6,0,0.51,14,30,0.07,0.04,2,27,0.035,0.01,0.1,0.02,0.3,2.2,1.5,1.5,9,0,2.4,0.1,1.2,3.2,0.14,1.2,2.17005268056486
5.6,3.4,10.6,5.6,16.4,29.2,0,0.51,14,29,0.07,0.06,2,26,0.035,0.03,0.1,0.3,0.8,2,3.6,4.8,18,15,1.4,4.1,4.3,1.3,0.43,3.5,2.19033587751919
4.4,3.4,4.6,9.2,9.2,16,0,0.5,14,27,0.175,0.03,2,17,0.035,0.01,0.1,0.1,0.8,2.9,4.1,3.6,9,15,4.5,2.5,1.1,0.6,0.17,2.6,2.19890792101145
6.8,2.2,11.8,5.6,24.8,22,0,0.5,14,28,0.14,0.05,2,11,0.14,0.02,0.1,0.25,3.1,2.2,4.7,4.3,21,28,4,3.8,1.5,3,2,3.7,2.20166560449751
6.8,1,1,23.6,8,35.2,0,0.51,14,20,0.175,0.04,2,19,0.175,0.08,0.1,0.2,0.9,2.5,2.9,4.1,8,16,1.3,5,0.2,3.9,0.37,2.5,2.22892161450849
9.2,1,5.8,5.6,14,5.2,0,0.5,14,31,0.035,0.03,2,9,0.035,0.03,0.1,0.13,1.7,3,4.8,3.5,30,1,1.8,3.8,3.1,0.2,1.08,3.3,2.23053825169522
