uuid,computer_name,w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,seed,A,B,C,D,E,Ltx_uH,Lrx1_uH,Lrx2_uH,M1,M2,k1,k2,Lmt_uH,Lmr1_uH,Lmr2_uH,Llt_uH,Llr1_uH,Llr2_uH,Copperloss_Tx,Copperloss_Rx_1,Copperloss_Rx_2,Coreloss_W,B_mean_leg_left,B_mean_leg_center,B_mean_leg_right,B_mean_leg_top_left,B_mean_leg_bottom_left,B_mean_leg_top_right,B_mean_leg_bottom_right
498cfcde-9191-44b1-8165-bf51730d4044,DESKTOP-L5CB36B,51.2,9.4,11.8,20.0,9.2,29.2,0.0,0.51,14.0,18.0,0.175,0.09,2.0,11.0,0.035,0.01,0.1,0.28,0.8,1.8,4.7,4.3,5.0,18.0,3.1,5.0,0.7,2.7,0.47,3.3,3605649518,57.2,38.4,20.0,26.4,14.6,1296.40517066551,52.0524411039104,52.0539871195822,258.633423248565,258.635154904134,0.995620247643462,0.995612128437808,1285.07417140608,51.5974859826675,51.5981769171333,11.3309992594314,0.45495512124286397,0.45581020244887704,6.61665262352485,11.6564320254874,2.57959200724456,0.000183202,0.0190633745269204,0.0198786321348813,0.0208817948582788,0.0168949395314172,0.0169225510109116,0.0170102302120122,0.0170201612132446
9a87bc1d-521d-4ae7-916f-c19a50be847f,DESKTOP-L5CB36B,10.4,5.8,7.0,10.4,11.6,4.0,0.0,0.51,14.0,27.0,0.175,0.08,2.0,30.0,0.175,0.03,0.1,0.39,0.8,3.2,3.9,3.7,10.0,4.0,1.8,0.7,0.7,0.7,0.33,1.0,3036544312,45.199999999999996,33.6,10.4,9.0,2.0,181.438363262886,7.39009764697851,7.40028390222399,35.5519682969924,35.5534235864599,0.970898883808143,0.970270163558516,171.031901088225,6.96623595506661,6.96680628058117,10.406462174661,0.42386169191190204,0.433477621642816,4.88320316638206,3.48728485322037,0.166830149105609,3.25208,0.121324866599518,0.186921034547326,0.177746528397498,0.148850523757082,0.149053577360988,0.150730482510935,0.149265916368374
10529fe4-c5a8-4e44-9fe9-2d8f94a268bd,DESKTOP-L5CB36B,18.8,4.6,7.0,9.2,26.0,25.6,0.0,0.5,14.0,33.0,0.14,0.03,2.0,8.0,0.105,0.08,0.1,0.2,2.2,2.8,5.0,4.3,27.0,21.0,2.1,5.0,0.1,4.8,1.06,3.3,1648449116,70.4,61.2,9.2,19.8,12.8,,,,,,,,,,,,,,3.5886590122035,2.56783440850747,0.598595424931317,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8c82ba9f-c0da-4e26-9686-fb782bc0c69f,DESKTOP-L5CB36B,9.2,11.8,4.6,23.6,16.4,32.8,0.0,0.5,14.0,18.0,0.175,0.01,2.0,28.0,0.105,0.05,0.1,0.43,1.0,2.0,4.4,4.4,7.0,13.0,2.7,4.0,3.8,4.3,0.55,1.4,58960556,80.0,56.4,23.6,21.0,16.4,273.71822148755,11.1634089946803,11.1727423988849,54.1775904037395,54.1767971336798,0.980097796077805,0.979673992437624,262.931448928735,10.7234779109833,10.7231638862501,10.7867725588148,0.43993108369703704,0.449578512634822,3.71388887186344,4.65696665462871,0.190018308246976,7.90837,0.0691777942614133,0.0917777369491264,0.0987316403915182,0.243996704408052,0.243420864476018,0.243652190260558,0.243533402282661
3a335c93-9232-4475-ab20-d0e926212e22,DESKTOP-L5CB36B,40.4,9.4,2.2,6.8,8.0,22.0,0.0,0.5,14.0,9.0,0.175,0.02,2.0,20.0,0.07,0.07,0.1,0.4,0.6,1.1,1.7,4.7,10.0,7.0,3.8,3.3,1.4,2.4,0.26,1.5,825767440,41.599999999999994,22.8,6.8,13.2,11.0,530.416978196193,21.497302471876,21.5075268264661,105.774587657258,105.775210518098,0.990559685817963,0.990330040836532,520.449642865661,21.0933357226069,21.093584142417,9.96733533053198,0.403966749269113,0.41394268404912404,7.70553144031221,8.33157632992583,0.589213632570918,1.32035,0.022085703196083,0.0731887870783593,0.0283215979756171,0.116799040836406,0.120780335052437,0.117523393998461,0.121794162805111
cb30c35b-9f73-4d02-a00d-00625ec5bdcb,DESKTOP-L5CB36B,30.8,11.8,4.6,14.0,26.0,48.4,0.0,0.5,14.0,23.0,0.175,0.04,2.0,32.0,0.105,0.07,0.1,0.5,1.7,1.7,4.8,4.4,25.0,27.0,3.3,1.5,1.1,2.2,1.04,3.8,3834170865,89.6,66.0,14.0,28.799999999999997,24.2,619.914508942962,24.9755519212611,24.9810362656507,123.589002489366,123.590515062878,0.993244981363012,0.993148101455251,611.567727691091,24.6392709252138,24.6398740361034,8.34678125187066,0.336280996047287,0.34116222954731096,3.78897979003489,2.74982926680578,0.624345077429155,1.60614,0.0207206967543639,0.0464293251943526,0.0292431596226519,0.0713220706067338,0.0712676412131296,0.0730005409210405,0.072973618570835
cfa6a24f-3950-471e-a432-d67412f50d39,DESKTOP-L5CB36B,36.8,9.4,11.8,8.0,20.0,17.2,0.0,0.51,14.0,33.0,0.175,0.04,2.0,34.0,0.175,0.05,0.1,0.29,1.2,3.6,5.0,5.0,19.0,3.0,0.9,1.4,0.7,0.1,0.37,3.9,1810950441,66.8,48.0,8.0,20.4,8.6,573.626419974394,23.0594301002925,23.0634488010139,114.165099695892,114.1666960596,0.9926462413701,0.992573634466541,565.220819937247,22.7215301365561,22.7221655685715,8.40560003714686,0.33789996373642706,0.341283232442442,7.16617008189345,2.16851952615424,0.796882631494168,0.0005940610000000001,0.0221426280378947,0.0688454377819293,0.0310925096063486,0.0242465122312513,0.0242159828856056,0.0246283149229665,0.0246004781250288
4a49b448-323a-4166-9a8c-ca3bd1b3b71d,DESKTOP-L5CB36B,20.0,11.8,13.0,20.0,12.8,37.6,0.0,0.5,14.0,15.0,0.14,0.08,2.0,28.0,0.105,0.04,0.1,0.39,0.7,1.2,5.0,4.6,15.0,28.0,4.6,2.9,3.5,4.7,0.44,2.3,1465037648,69.2,45.6,20.0,31.8,18.8,562.221179213243,22.6992309911878,22.7029929988035,111.98391968092,111.984512262071,0.991280337087225,0.991203448539037,552.459167976709,22.3050975857072,22.3053336484456,9.76201123653392,0.39413340548063597,0.39765935035786604,5.16179286791891,4.12677684469121,0.808848823852376,1.02565,0.0342131782205407,0.0511276348235929,0.0469039451347025,0.0411187624905573,0.0409359409229301,0.0391015646145342,0.0393248107497045
a528f96b-f2ef-4fec-82c0-2eba14a3c371,DESKTOP-L5CB36B,51.2,2.2,7.0,11.6,20.0,46.0,0.0,0.5,14.0,21.0,0.035,0.03,2.0,27.0,0.14,0.09,0.1,0.39,1.4,2.2,4.3,3.2,28.0,30.0,2.0,1.2,0.1,1.4,0.38,3.0,2933631600,56.0,51.6,11.6,30.0,23.0,496.383789372061,20.0615547112045,20.0644761918588,98.7341035525691,98.7349411466833,0.989409552535168,0.989345911484467,485.925609687911,19.6388830841182,19.6392162918359,10.4581796841496,0.42267162708634404,0.42525990002291203,3.55250568441866,2.78025189323747,0.295774240224972,1.5474,0.0549601888780756,0.0348857849163475,0.0796074860132548,0.0280933977579532,0.028040654139083,0.029831586246879,0.0299141634867538
beab22a4-08c5-4999-968b-9b76389be2b7,DESKTOP-L5CB36B,33.2,10.6,8.2,5.6,3.2,25.6,0.0,0.5,14.0,29.0,0.175,0.06,2.0,20.0,0.175,0.03,0.1,0.47,0.4,3.4,1.5,4.9,29.0,4.0,2.3,4.1,0.8,0.5,0.3,1.4,2572347548,33.2,12.0,5.6,21.0,12.8,407.311670711211,16.4840249186117,16.4896881964521,80.7807455838144,80.7763078569002,0.985854445251931,0.985630988954703,395.869873365038,16.0209719640065,16.019211773627,11.4417973461727,0.46305295460522305,0.470476422825096,7.72531405831415,3.63420827132232,0.496868671387056,1.27791,0.024163099487233,0.106274621032227,0.031218483760955,0.0412687858525559,0.0423927021220746,0.0400750269902283,0.0402561485916566
b538c5da-d2eb-41a7-8166-e551d07d1e00,DESKTOP-L5CB36B,10.4,2.2,3.4,3.2,5.6,38.8,0.0,0.51,14.0,25.0,0.175,0.01,2.0,22.0,0.175,0.06,0.1,0.22,0.5,2.2,2.2,4.5,20.0,27.0,1.8,2.2,3.5,2.9,0.13,1.7,1451559292,18.8,14.399999999999999,3.2,22.799999999999997,19.4,60.30798632953,2.51822181438675,2.52035086207479,11.7671266787994,11.76744968963,0.954851916562082,0.954474729191004,54.9853350820219,2.29596905322492,2.29609510490602,5.32265124750811,0.22225276116182702,0.224255757168767,8.27323655142601,2.05762541015089,0.339123310210005,50.3422,0.294477922534654,0.598770424419989,0.456541913062713,0.299599896879661,0.298135940351866,0.301359847511872,0.284196228277595
3bd61538-ff43-4d52-a76c-f06a3c8f467a,DESKTOP-L5CB36B,11.6,13.0,13.0,26.0,3.2,7.6,0.0,0.5,14.0,34.0,0.175,0.08,2.0,13.0,0.175,0.03,0.1,0.27,0.3,2.3,1.8,4.4,30.0,5.0,1.2,2.2,2.9,3.4,0.16,1.3,488393202,58.4,32.4,26.0,16.8,3.8,438.515193675765,17.711385614446,17.7188531035037,86.9239672910277,86.9234702711234,0.986327058783025,0.986113557993788,426.605588861941,17.2303632772148,17.2301662358397,11.9096048138236,0.481022337231161,0.488686867663995,7.92697298129363,27.8743660644464,0.971457039997117,0.00083512,0.0575186420637379,0.0666390343478769,0.0721145784320839,0.0702718182685231,0.0705059437476254,0.0699457398583014,0.0703285437205131
