N1,N2,N1_layer,N2_layer,per,w1,l1,l2,l2_gap,h1,h1_gap,h2_gap,N1_height_ratio,N1_fill_factor,N1_coil_diameter,N1_coil_zgap,N2_height_ratio,N2_fill_factor,N2_coil_diameter,N2_coil_zgap,N1_space_w,N1_space_l,N2_space_w,N2_space_l,N1_layer_gap,N2_layer_gap,N1_offset_ratio,N2_offset_ratio,N1_offset,N2_offset,cold_plate_x,cold_plate_y,cold_plate_z1,cold_plate_z2,mold_thick,thermal_conductivity,Temp_max_leg_right
5,5,1,1,5792,211.8,20.4,137.2288,31.9,115.8,9.93564,6.855360000000002,0.78,0.9,13.5486,1.8064799999999992,0.84,0.85,13.7802,2.9181600000000003,26.1,10.6,16.8,29.6,7.9,2.7,-0.22,-0.26,-2.80236,-2.408640000000001,27.9,6.5,41.8,0.46,37.8,1.17,116.140832519531
5,5,1,2,27355,225.7,18.4,139.863,36.2,98.0,12.8968,4.620699999999999,0.53,0.75,6.492500000000001,2.597,0.77,0.85,16.03525,3.773000000000001,27.2,11.7,7.4,13.1,3.1,3.0,-0.44,0.59,-10.1332,6.6492999999999975,6.6,7.2,25.7,0.39,37.3,0.99,106.211022949219
6,6,2,2,13389,205.0,15.5,154.95468,41.2,97.4,16.71384,8.619900000000005,0.48,0.73,8.53224,4.207680000000001,0.7,0.78,13.2951,4.999866666666665,12.7,11.2,22.9,9.3,6.9,5.0,-0.34,0.41,-8.61016,5.990100000000003,27.9,28.4,14.4,0.18,37.7,1.81,112.774713134766
5,5,2,2,3936,263.2,16.7,183.47004,45.0,67.8,11.29548,5.444339999999999,0.66,0.93,10.40391,1.0441199999999995,0.78,0.91,12.03111,1.5865200000000002,22.8,28.4,12.7,23.9,5.0,5.1,-0.02,-0.27,-0.23052,-2.01366,23.4,13.7,42.6,0.11,31.2,1.67,86.1290832519531
5,5,2,1,1538,189.7,16.5,111.2995,27.0,50.2,1.0542,6.5511,0.88,0.74,8.17256,3.8285866666666655,0.42,0.67,2.3543800000000004,1.3915439999999997,19.2,24.2,4.9,15.3,2.5,2.0,-0.65,-0.55,-1.9578000000000004,-8.006900000000002,25.4,8.4,26.7,0.4,23.6,1.32,100.755059814453
5,5,1,2,26920,105.3,38.8,148.7838733333333,42.3,61.3,10.09611,1.348599999999999,0.46,0.74,3.4777533333333337,1.4662959999999998,0.92,0.94,13.25306,1.1279200000000007,9.0,5.3,29.4,27.7,2.7,6.7,-0.39,0.45,-6.45489,1.1033999999999993,14.9,10.7,17.0,0.13,36.8,0.8,116.046594238281
5,5,2,2,6249,144.9,25.0,120.51992,27.7,69.6,10.05024,14.03136,0.62,0.81,8.73828,2.7329599999999985,0.44,0.78,5.97168,2.2457599999999998,5.9,5.5,4.4,29.5,4.3,3.6,-0.24,0.28,-3.17376,5.45664,21.0,13.5,47.7,0.18,20.5,1.57,114.357049560547
5,5,2,2,18499,197.0,24.4,184.798235,49.7,89.1,10.776645,15.40539,0.59,0.93,12.2222925,1.2266099999999984,0.62,0.65,8.976825,6.4449,14.6,25.1,9.7,24.2,1.7,8.3,-0.41,0.09,-7.488854999999999,1.52361,8.8,6.5,32.4,0.18,33.4,1.53,95.4234558105469
5,5,2,1,10508,210.7,18.2,135.57202666666666,40.1,75.2,3.3463999999999983,2.7485600000000017,0.9,0.71,12.0132,6.542400000000001,0.83,0.61,6.345626666666667,4.868447999999999,27.6,27.4,9.0,17.8,8.6,1.9,-0.11,0.57,-0.4135999999999998,3.643440000000001,10.2,10.7,45.1,0.1,11.3,0.67,103.4857421875
5,5,1,2,7303,187.5,22.0,158.44276,48.6,70.2,9.90522,2.58687,0.66,0.9,6.9498,0.9266400000000004,0.89,0.64,9.99648,7.49736,29.9,26.4,8.7,19.2,2.2,8.8,-0.17,-0.33,-2.02878,-1.2741300000000002,16.3,15.1,33.3,0.22,28.5,1.98,97.6100708007813
