w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,Coreloss_W
34.4,3.4,1.0,9.2,6.8,23.2,0.0,0.51,14.0,30.0,0.105,0.06,2.0,31.0,0.14,0.06,0.1,0.18,0.8,2.3,3.0,4.3,20.0,16.0,1.3,3.6,2.4,2.6,0.21,1.5,4.1392
10.4,7.0,3.4,15.2,17.6,5.2,0.0,0.51,14.0,13.0,0.07,0.07,2.0,32.0,0.035,0.03,0.1,0.26,1.0,1.3,4.2,3.5,10.0,9.0,4.1,3.9,0.3,3.2,0.19,2.5,8.92455
34.4,3.4,1.0,16.4,6.8,53.2,0.0,0.51,14.0,21.0,0.175,0.02,2.0,8.0,0.14,0.09,0.1,0.36,0.4,1.0,4.3,2.3,20.0,20.0,3.5,4.8,4.4,0.5,0.32,1.0,4.43049
16.4,2.2,2.2,24.8,15.2,8.8,0.0,0.51,14.0,35.0,0.14,0.07,2.0,22.0,0.105,0.04,0.1,0.2,1.8,2.1,4.7,4.5,29.0,11.0,1.1,0.2,4.3,0.6,1.21,3.6,8.4589
17.6,2.2,2.2,14.0,17.6,19.6,0.0,0.51,14.0,28.0,0.14,0.04,2.0,35.0,0.175,0.09,0.1,0.22,1.7,2.9,3.5,3.9,27.0,10.0,1.4,0.8,3.7,4.6,1.44,3.2,12.2073
8.0,3.4,4.6,18.8,4.4,22.0,0.0,0.5,14.0,25.0,0.14,0.06,2.0,28.0,0.14,0.09,0.1,0.4,0.5,1.3,1.8,1.9,13.0,25.0,0.6,3.0,0.8,4.9,0.13,1.4,11.2956
17.6,7.0,2.2,16.4,3.2,29.2,0.0,0.5,14.0,27.0,0.175,0.08,2.0,29.0,0.105,0.08,0.1,0.36,0.4,0.6,1.5,4.2,12.0,15.0,1.0,2.1,2.1,0.6,0.29,1.2,2.97575
16.4,13.0,2.2,11.6,10.4,37.6,0.0,0.5,14.0,33.0,0.175,0.08,2.0,21.0,0.105,0.06,0.1,0.17,0.5,2.6,4.8,4.5,6.0,20.0,0.8,4.7,3.1,0.6,0.28,3.9,6.71556
16.4,13.0,2.2,11.6,10.4,37.6,0.0,0.5,14.0,33.0,0.175,0.08,2.0,21.0,0.105,0.06,0.1,0.17,0.5,2.6,4.8,4.5,6.0,20.0,0.8,4.7,3.1,0.6,0.28,3.9,6.71556
16.4,13.0,2.2,11.6,10.4,37.6,0.0,0.5,14.0,33.0,0.175,0.08,2.0,21.0,0.105,0.06,0.1,0.17,0.5,2.6,4.8,4.5,6.0,20.0,0.8,4.7,3.1,0.6,0.28,3.9,6.71556
17.6,3.4,2.2,11.6,18.8,28.0,0.0,0.51,14.0,27.0,0.07,0.03,2.0,9.0,0.175,0.02,0.1,0.35,1.6,3.5,4.6,4.5,12.0,8.0,4.1,3.3,2.4,2.5,0.48,1.1,11.0547
6.8,9.4,5.8,21.2,4.4,31.6,0.0,0.5,14.0,35.0,0.14,0.08,2.0,35.0,0.175,0.09,0.1,0.27,0.3,2.1,1.2,3.2,16.0,28.0,2.1,1.2,1.4,0.9,0.18,1.0,7.81377
11.6,9.4,3.4,17.6,24.8,14.8,0.0,0.51,14.0,17.0,0.14,0.04,2.0,20.0,0.105,0.07,0.1,0.27,3.3,1.6,4.1,4.7,9.0,13.0,3.1,4.3,2.6,3.8,0.51,3.4,11.659
11.6,9.4,3.4,17.6,24.8,14.8,0.0,0.51,14.0,17.0,0.14,0.04,2.0,20.0,0.105,0.07,0.1,0.27,3.3,1.6,4.1,4.7,9.0,13.0,3.1,4.3,2.6,3.8,0.51,3.4,11.659
11.6,9.4,3.4,17.6,24.8,14.8,0.0,0.51,14.0,17.0,0.14,0.04,2.0,20.0,0.105,0.07,0.1,0.27,3.3,1.6,4.1,4.7,9.0,13.0,3.1,4.3,2.6,3.8,0.51,3.4,11.659
36.8,2.2,1.0,14.0,14.0,28.0,0.0,0.5,14.0,19.0,0.175,0.09,2.0,6.0,0.105,0.05,0.1,0.42,1.7,0.6,3.7,2.4,0.0,26.0,3.2,3.6,4.1,0.4,0.26,2.1,6.82901
11.6,8.2,3.4,15.2,18.8,16.0,0.0,0.51,14.0,23.0,0.175,0.05,2.0,12.0,0.105,0.05,0.1,0.42,1.9,1.5,3.5,4.8,12.0,20.0,0.6,3.9,3.3,0.1,0.43,2.3,9.54326
16.4,5.8,2.2,20.0,26.0,53.2,0.0,0.5,14.0,30.0,0.105,0.01,2.0,22.0,0.035,0.01,0.1,0.44,1.2,2.1,4.1,4.6,15.0,25.0,1.6,4.1,4.7,2.3,1.04,3.9,12.1384
38.0,2.2,1.0,15.2,11.6,34.0,0.0,0.5,14.0,35.0,0.14,0.02,2.0,17.0,0.14,0.03,0.1,0.19,1.3,4.2,4.2,2.8,11.0,24.0,4.4,1.6,1.5,0.1,0.92,2.0,6.13471
6.8,8.2,5.8,26.0,3.2,6.4,0.0,0.5,14.0,18.0,0.175,0.03,2.0,5.0,0.14,0.09,0.1,0.17,0.4,1.5,2.0,2.2,14.0,23.0,4.9,1.7,2.6,2.2,0.15,1.1,4.37244
17.6,4.6,2.2,14.0,20.0,48.4,0.0,0.51,14.0,29.0,0.175,0.09,2.0,16.0,0.105,0.1,0.1,0.4,2.4,3.2,4.7,4.0,13.0,18.0,4.1,1.1,2.0,3.1,1.41,1.5,11.5406
18.8,9.4,2.2,23.6,9.2,34.0,0.0,0.51,14.0,21.0,0.175,0.1,2.0,11.0,0.105,0.01,0.1,0.35,1.1,1.8,3.7,4.0,14.0,3.0,0.2,1.4,0.3,4.2,0.35,3.1,4.45152
39.2,5.8,1.0,23.6,3.2,16.0,0.0,0.5,14.0,6.0,0.175,0.05,2.0,32.0,0.14,0.1,0.1,0.2,0.3,0.5,1.5,4.7,18.0,2.0,0.1,2.3,4.0,0.6,0.2,1.3,1.51722
39.2,7.0,1.0,9.2,11.6,16.0,0.0,0.5,14.0,21.0,0.14,0.06,2.0,12.0,0.105,0.07,0.1,0.19,1.1,0.7,2.9,3.0,26.0,23.0,1.7,4.7,2.8,0.3,0.22,2.1,4.55335
18.8,4.6,2.2,16.4,16.4,35.2,0.0,0.51,14.0,34.0,0.105,0.08,2.0,28.0,0.175,0.1,0.1,0.39,1.5,1.9,4.0,3.9,5.0,22.0,1.0,0.7,0.7,1.7,0.42,2.4,8.5205
17.6,11.8,2.2,21.2,15.2,47.2,0.0,0.51,14.0,35.0,0.07,0.01,2.0,28.0,0.14,0.02,0.1,0.2,1.5,4.7,3.9,5.0,6.0,30.0,1.0,3.0,1.5,4.1,0.64,3.2,7.16169
11.6,8.2,3.4,12.8,6.8,30.4,0.0,0.5,14.0,32.0,0.105,0.01,2.0,23.0,0.105,0.08,0.1,0.34,0.9,0.4,5.0,4.9,21.0,4.0,4.2,2.1,3.5,4.6,0.26,1.1,6.53829
38.0,1.0,1.0,26.0,8.0,43.6,0.0,0.51,14.0,32.0,0.14,0.04,2.0,9.0,0.14,0.06,0.1,0.49,0.7,2.5,1.7,4.7,26.0,24.0,2.3,4.6,3.4,3.9,0.26,1.2,9.3942
9.2,10.6,4.6,6.8,3.2,22.0,0.0,0.5,14.0,15.0,0.105,0.04,2.0,20.0,0.105,0.02,0.1,0.48,0.2,0.6,2.1,3.0,24.0,8.0,0.8,5.0,2.3,3.6,0.12,1.0,9.70066
9.2,11.8,4.6,16.4,6.8,49.6,0.0,0.5,14.0,17.0,0.14,0.1,2.0,33.0,0.14,0.02,0.1,0.5,0.4,0.6,3.2,2.3,11.0,26.0,3.9,2.8,4.3,4.0,0.17,1.7,8.17743
39.2,7.0,1.0,20.0,5.6,20.8,0.0,0.51,14.0,27.0,0.14,0.07,2.0,9.0,0.175,0.09,0.1,0.41,0.4,1.3,2.0,4.3,28.0,0.0,4.6,3.1,3.2,3.8,0.24,1.5,2.31489
6.8,8.2,5.8,10.4,9.2,12.4,0.0,0.5,14.0,10.0,0.14,0.06,2.0,21.0,0.035,0.03,0.1,0.11,0.9,1.1,3.0,1.8,21.0,20.0,0.2,2.8,0.3,4.0,0.42,1.5,9.02534
11.6,4.6,3.4,22.4,4.4,22.0,0.0,0.51,14.0,33.0,0.175,0.07,2.0,20.0,0.105,0.07,0.1,0.17,0.3,3.0,2.2,4.9,25.0,17.0,5.0,0.2,2.0,5.0,0.14,1.5,4.93328
11.6,5.8,3.4,12.8,23.6,25.6,0.0,0.5,14.0,13.0,0.175,0.07,2.0,19.0,0.175,0.09,0.1,0.39,2.2,0.9,4.7,4.8,1.0,25.0,4.4,2.4,1.9,3.8,0.42,2.7,11.824
11.6,10.6,3.4,17.6,16.4,40.0,0.0,0.5,14.0,23.0,0.14,0.03,2.0,34.0,0.035,0.01,0.1,0.04,1.4,0.9,3.8,4.8,13.0,9.0,0.3,4.9,1.8,4.1,0.28,1.6,8.84765
18.8,10.6,2.2,17.6,16.4,32.8,0.0,0.5,14.0,24.0,0.105,0.09,2.0,12.0,0.07,0.05,0.1,0.29,2.1,2.1,4.9,2.1,19.0,17.0,0.1,0.8,1.7,2.3,0.92,1.4,6.72256
42.8,10.6,1.0,9.2,3.2,14.8,0.0,0.5,14.0,22.0,0.14,0.08,2.0,8.0,0.105,0.01,0.1,0.4,0.4,2.4,1.4,1.8,10.0,13.0,0.2,2.6,1.5,1.9,0.28,1.3,1.42601
18.8,7.0,2.2,22.4,20.0,20.8,0.0,0.51,14.0,34.0,0.105,0.05,2.0,11.0,0.07,0.06,0.1,0.5,1.4,4.4,4.3,4.5,22.0,14.0,0.9,1.0,2.8,2.7,0.96,2.8,7.80067
40.4,3.4,1.0,10.4,5.6,29.2,0.0,0.51,14.0,30.0,0.035,0.01,2.0,8.0,0.14,0.09,0.1,0.45,0.6,2.4,1.6,4.6,17.0,2.0,3.4,3.4,2.6,4.7,0.32,1.5,2.84571
4.4,5.8,9.4,23.6,3.2,8.8,0.0,0.51,14.0,30.0,0.175,0.09,2.0,16.0,0.175,0.09,0.1,0.41,0.3,0.3,1.4,1.5,10.0,27.0,0.8,1.0,1.3,3.6,0.16,1.2,7.86966
