w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_leg_bottom_left
9.2,3.4,4.6,20.0,15.2,4.0,0.0,0.51,14.0,32.0,0.175,0.01,2.0,35.0,0.175,0.08,0.1,0.46,0.8,2.9,3.0,3.0,30.0,18.0,2.2,4.2,4.2,3.0,0.7,2.1,0.241824564156426
20.0,3.4,2.2,15.2,11.6,47.2,0.0,0.5,14.0,27.0,0.175,0.03,2.0,17.0,0.07,0.05,0.1,0.06,1.3,1.2,3.2,3.8,14.0,12.0,3.0,4.3,1.7,3.0,0.57,1.7,0.240264462009946
9.2,8.2,4.6,11.6,12.8,47.2,0.0,0.5,14.0,23.0,0.105,0.04,2.0,12.0,0.14,0.05,0.1,0.5,0.6,0.9,4.8,3.4,9.0,22.0,3.3,1.3,0.1,0.9,0.36,1.7,0.240255064727732
20.0,8.2,2.2,21.2,23.6,26.8,0.0,0.5,14.0,28.0,0.175,0.06,2.0,17.0,0.14,0.1,0.1,0.47,3.0,2.1,5.0,4.9,1.0,26.0,0.3,2.1,1.9,5.0,0.46,3.2,0.238431115612551
20.0,8.2,2.2,21.2,23.6,26.8,0.0,0.5,14.0,28.0,0.175,0.06,2.0,17.0,0.14,0.1,0.1,0.47,3.0,2.1,5.0,4.9,1.0,26.0,0.3,2.1,1.9,5.0,0.46,3.2,0.238431115612551
20.0,8.2,2.2,21.2,23.6,26.8,0.0,0.5,14.0,28.0,0.175,0.06,2.0,17.0,0.14,0.1,0.1,0.47,3.0,2.1,5.0,4.9,1.0,26.0,0.3,2.1,1.9,5.0,0.46,3.2,0.238431115612551
44.0,2.2,1.0,3.2,6.8,42.4,0.0,0.51,14.0,25.0,0.175,0.06,2.0,34.0,0.175,0.04,0.1,0.33,0.3,1.0,1.2,1.4,21.0,13.0,0.9,4.6,0.7,4.4,0.2,1.0,0.247738517817115
44.0,5.8,1.0,15.2,9.2,20.8,0.0,0.51,14.0,31.0,0.175,0.06,2.0,32.0,0.105,0.03,0.1,0.39,0.9,3.6,3.3,2.8,7.0,22.0,3.0,3.9,1.1,0.7,0.8,2.0,0.239323252554273
44.0,5.8,1.0,15.2,9.2,20.8,0.0,0.51,14.0,31.0,0.175,0.06,2.0,32.0,0.105,0.03,0.1,0.39,0.9,3.6,3.3,2.8,7.0,22.0,3.0,3.9,1.1,0.7,0.8,2.0,0.239323252554273
44.0,5.8,1.0,15.2,9.2,20.8,0.0,0.51,14.0,31.0,0.175,0.06,2.0,32.0,0.105,0.03,0.1,0.39,0.9,3.6,3.3,2.8,7.0,22.0,3.0,3.9,1.1,0.7,0.8,2.0,0.239323252554273
12.8,13.0,3.4,24.8,16.4,50.8,0.0,0.51,14.0,22.0,0.175,0.04,2.0,30.0,0.175,0.02,0.1,0.37,1.8,0.8,5.0,1.9,17.0,2.0,3.0,1.5,2.0,2.3,0.1,1.0,0.233696273907427
12.8,13.0,3.4,10.4,14.0,14.8,0.0,0.51,14.0,23.0,0.175,0.01,2.0,16.0,0.035,0.02,0.1,0.36,0.6,0.6,2.4,3.5,26.0,22.0,2.3,1.9,0.2,1.5,0.21,2.3,0.237395931297625
