w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_leg_right
22.4,3.4,1.0,9.2,3.2,50.8,0.0,0.51,14.0,7.0,0.105,0.01,2.0,12.0,0.105,0.03,0.1,0.25,0.2,0.3,1.8,4.5,22.0,11.0,1.4,4.1,4.2,3.0,0.19,1.0,0.135305857173217
10.4,13.0,2.2,18.8,8.0,53.2,0.0,0.51,14.0,10.0,0.105,0.03,2.0,11.0,0.14,0.06,0.1,0.3,0.7,0.6,1.6,5.0,27.0,25.0,3.3,4.0,0.9,1.3,0.49,1.0,0.081220616288355
10.4,13.0,2.2,14.0,24.8,10.0,0.0,0.5,14.0,27.0,0.105,0.08,2.0,25.0,0.07,0.05,0.1,0.5,2.8,2.7,4.4,4.3,28.0,9.0,3.8,2.2,3.4,0.7,1.33,3.7,0.0945553476619583
10.4,10.6,2.2,17.6,4.4,14.8,0.0,0.51,14.0,31.0,0.07,0.04,2.0,25.0,0.14,0.02,0.1,0.22,0.3,0.8,2.0,4.1,21.0,24.0,1.8,4.8,3.5,4.9,0.28,1.1,0.103238438089965
10.4,5.8,2.2,9.2,20.0,53.2,0.0,0.5,14.0,17.0,0.07,0.05,2.0,35.0,0.175,0.07,0.1,0.5,1.0,0.9,4.6,4.5,18.0,25.0,2.2,0.2,1.4,2.3,0.88,4.4,0.206906412727511
6.8,11.8,3.4,10.4,3.2,35.2,0.0,0.5,14.0,23.0,0.14,0.05,2.0,14.0,0.14,0.07,0.1,0.4,0.4,2.8,1.6,2.5,12.0,19.0,4.0,5.0,3.6,3.8,0.12,1.2,0.135454458087228
10.4,10.6,2.2,9.2,16.4,47.2,0.0,0.5,14.0,20.0,0.175,0.08,2.0,10.0,0.105,0.03,0.1,0.09,0.7,1.7,3.6,2.7,4.0,17.0,2.9,4.5,4.9,3.4,0.32,2.1,0.0905668128566957
10.4,13.0,2.2,26.0,16.4,22.0,0.0,0.5,14.0,32.0,0.175,0.08,2.0,5.0,0.07,0.04,0.1,0.21,1.6,2.2,4.0,2.3,14.0,7.0,4.0,0.4,0.9,0.6,0.41,2.0,0.0836249002804548
23.6,10.6,1.0,12.8,6.8,25.6,0.0,0.5,14.0,30.0,0.105,0.08,2.0,13.0,0.035,0.03,0.1,0.23,0.7,0.9,2.8,3.4,18.0,12.0,0.8,3.9,2.9,4.7,0.44,1.5,0.043838291111004
10.4,11.8,2.2,22.4,24.8,24.4,0.0,0.5,14.0,34.0,0.175,0.03,2.0,21.0,0.035,0.02,0.1,0.43,2.6,4.3,4.9,4.4,28.0,13.0,2.4,3.4,2.7,3.9,1.55,3.1,0.089134843763704
23.6,3.4,1.0,15.2,3.2,17.2,0.0,0.5,14.0,21.0,0.14,0.08,2.0,7.0,0.07,0.06,0.1,0.44,0.4,1.2,1.3,3.8,6.0,30.0,2.4,2.5,4.2,3.8,0.24,1.2,0.131466763466925
10.4,9.4,2.2,17.6,21.2,29.2,0.0,0.51,14.0,30.0,0.14,0.02,2.0,32.0,0.105,0.03,0.1,0.2,2.1,3.6,5.0,4.5,26.0,24.0,1.2,4.9,3.1,1.8,1.36,3.4,0.106538147286681
10.4,10.6,2.2,17.6,5.6,11.2,0.0,0.51,14.0,11.0,0.105,0.1,2.0,27.0,0.035,0.01,0.1,0.4,0.7,0.9,2.3,2.0,22.0,2.0,3.2,0.7,2.0,1.1,0.22,1.5,0.103445997343619
22.4,3.4,1.0,21.2,8.0,53.2,0.0,0.51,14.0,34.0,0.175,0.07,2.0,13.0,0.07,0.03,0.1,0.09,0.5,3.1,3.7,1.2,7.0,2.0,4.8,1.7,0.1,4.6,0.48,1.0,0.132141365683292
22.4,3.4,1.0,24.8,8.0,34.0,0.0,0.5,14.0,27.0,0.105,0.01,2.0,26.0,0.07,0.01,0.1,0.11,0.9,1.1,4.4,2.5,5.0,25.0,3.8,3.3,2.4,4.9,0.67,1.8,0.125844462216247
6.8,8.2,3.4,26.0,10.4,25.6,0.0,0.51,14.0,31.0,0.14,0.06,2.0,6.0,0.07,0.04,0.1,0.48,0.8,2.2,3.2,2.8,2.0,28.0,1.0,3.6,4.0,1.5,0.3,1.0,0.183130376748614
23.6,10.6,1.0,12.8,3.2,34.0,0.0,0.51,14.0,25.0,0.105,0.02,2.0,22.0,0.105,0.07,0.1,0.36,0.3,1.8,1.7,1.8,15.0,29.0,1.5,4.7,4.1,3.7,0.19,1.2,0.0420575819307948
6.8,5.8,3.4,14.0,17.6,50.8,0.0,0.51,14.0,29.0,0.035,0.02,2.0,23.0,0.07,0.03,0.1,0.39,1.0,0.6,4.2,4.3,6.0,20.0,0.2,1.1,5.0,4.2,0.59,3.2,0.250382646581569
11.6,7.0,2.2,10.4,16.4,16.0,0.0,0.51,14.0,27.0,0.07,0.02,2.0,12.0,0.07,0.02,0.1,0.39,1.9,0.8,4.5,4.0,6.0,26.0,2.0,2.6,2.1,1.0,0.23,2.1,0.153927579038539
24.8,5.8,1.0,12.8,6.8,24.4,0.0,0.5,14.0,34.0,0.175,0.06,2.0,22.0,0.14,0.05,0.1,0.3,0.7,1.2,1.9,4.5,4.0,11.0,3.2,2.8,4.4,4.8,0.31,1.0,0.0729912032663491
