w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,Llt_uH
8.0,2.2,2.2,16.4,8.0,30.4,0.0,0.51,14.0,21.0,0.14,0.09,2.0,11.0,0.105,0.09,0.1,0.32,0.7,2.2,3.1,2.6,10.0,17.0,2.1,0.3,3.9,3.7,0.17,1.5,9.11750447407323
5.6,1.0,3.4,5.6,8.0,12.4,0.0,0.51,14.0,8.0,0.175,0.1,2.0,28.0,0.035,0.02,0.1,0.23,0.6,0.8,4.8,4.0,10.0,19.0,4.7,4.5,1.1,3.8,0.14,2.0,5.9988821453628
17.6,4.6,1.0,8.0,9.2,22.0,0.0,0.5,14.0,31.0,0.175,0.1,2.0,34.0,0.105,0.06,0.1,0.17,1.1,1.8,4.4,4.9,30.0,18.0,2.7,1.8,2.6,3.4,0.49,2.6,6.09653079426054
17.6,4.6,1.0,8.0,9.2,22.0,0.0,0.5,14.0,31.0,0.175,0.1,2.0,34.0,0.105,0.06,0.1,0.17,1.1,1.8,4.4,4.9,30.0,18.0,2.7,1.8,2.6,3.4,0.49,2.6,6.09653079426054
17.6,4.6,1.0,8.0,9.2,22.0,0.0,0.5,14.0,31.0,0.175,0.1,2.0,34.0,0.105,0.06,0.1,0.17,1.1,1.8,4.4,4.9,30.0,18.0,2.7,1.8,2.6,3.4,0.49,2.6,6.09653079426054
18.8,2.2,1.0,17.6,4.4,35.2,0.0,0.51,14.0,29.0,0.14,0.08,2.0,30.0,0.175,0.06,0.1,0.49,0.3,3.7,2.8,2.3,8.0,13.0,2.3,3.3,3.5,0.9,0.19,1.2,16.269907622136
17.6,2.2,1.0,14.0,10.4,36.4,0.0,0.5,14.0,7.0,0.07,0.02,2.0,5.0,0.14,0.03,0.1,0.3,0.6,0.3,2.5,2.9,16.0,1.0,2.4,3.6,0.9,4.6,0.2,1.8,8.99505023398243
8.0,8.2,2.2,22.4,5.6,13.6,0.0,0.51,14.0,15.0,0.175,0.09,2.0,17.0,0.14,0.08,0.1,0.29,0.7,1.4,3.0,3.6,10.0,8.0,3.6,4.2,0.6,3.1,0.34,2.2,7.46806148556946
8.0,3.4,2.2,11.6,22.4,36.4,0.0,0.5,14.0,28.0,0.105,0.08,2.0,31.0,0.14,0.07,0.1,0.3,2.2,0.6,4.2,4.1,21.0,7.0,1.2,3.8,2.3,2.7,0.4,3.7,7.07413664703156
8.0,3.4,2.2,11.6,22.4,36.4,0.0,0.5,14.0,28.0,0.105,0.08,2.0,31.0,0.14,0.07,0.1,0.3,2.2,0.6,4.2,4.1,21.0,7.0,1.2,3.8,2.3,2.7,0.4,3.7,7.07413664703156
8.0,3.4,2.2,11.6,22.4,36.4,0.0,0.5,14.0,28.0,0.105,0.08,2.0,31.0,0.14,0.07,0.1,0.3,2.2,0.6,4.2,4.1,21.0,7.0,1.2,3.8,2.3,2.7,0.4,3.7,7.07413664703156
8.0,2.2,2.2,11.6,16.4,41.2,0.0,0.5,14.0,27.0,0.14,0.01,2.0,17.0,0.14,0.04,0.1,0.45,1.6,0.2,3.2,4.6,1.0,22.0,0.1,2.5,3.6,4.4,0.11,3.0,10.055619930414
18.8,5.8,1.0,4.4,4.4,53.2,0.0,0.51,14.0,28.0,0.175,0.05,2.0,24.0,0.105,0.06,0.1,0.16,0.4,1.3,2.5,1.9,12.0,22.0,1.5,4.2,3.9,0.1,0.19,1.6,6.85787617457037
5.6,7.0,3.4,9.2,12.8,11.2,0.0,0.5,14.0,29.0,0.07,0.04,2.0,26.0,0.07,0.04,0.1,0.45,1.0,1.5,2.5,2.9,24.0,17.0,4.2,4.9,3.6,0.5,0.9,2.2,6.21942299114748
5.6,11.8,3.4,14.0,8.0,14.8,0.0,0.5,14.0,6.0,0.07,0.06,2.0,20.0,0.175,0.04,0.1,0.2,0.5,0.5,4.1,4.4,27.0,1.0,3.3,1.5,3.0,3.8,0.26,3.0,7.99605173874269
4.4,10.6,4.6,4.4,6.8,49.6,0.0,0.5,14.0,21.0,0.14,0.02,2.0,30.0,0.14,0.08,0.1,0.48,0.5,0.5,2.7,2.6,9.0,29.0,1.9,4.9,4.7,3.1,0.47,1.5,4.83334915594506
17.6,2.2,1.0,22.4,8.0,43.6,0.0,0.5,14.0,25.0,0.175,0.08,2.0,12.0,0.07,0.05,0.1,0.39,0.8,0.9,3.0,2.2,27.0,7.0,4.0,4.9,1.2,4.8,0.65,1.5,9.38304679359004
11.6,4.6,1.0,5.6,11.6,36.4,0.0,0.51,14.0,22.0,0.105,0.06,2.0,26.0,0.14,0.04,0.1,0.17,1.0,2.2,5.0,4.2,28.0,19.0,4.5,2.6,0.9,2.2,0.58,2.1,6.20698791923979
17.6,1.0,1.0,17.6,9.2,38.8,0.0,0.5,14.0,28.0,0.105,0.09,2.0,12.0,0.07,0.06,0.1,0.15,0.7,2.2,3.4,4.4,15.0,24.0,1.0,2.5,4.6,0.6,0.39,2.7,7.22751496681533
17.6,1.0,1.0,17.6,9.2,38.8,0.0,0.5,14.0,28.0,0.105,0.09,2.0,12.0,0.07,0.06,0.1,0.15,0.7,2.2,3.4,4.4,15.0,24.0,1.0,2.5,4.6,0.6,0.39,2.7,7.22751496681533
17.6,1.0,1.0,17.6,9.2,38.8,0.0,0.5,14.0,28.0,0.105,0.09,2.0,12.0,0.07,0.06,0.1,0.15,0.7,2.2,3.4,4.4,15.0,24.0,1.0,2.5,4.6,0.6,0.39,2.7,7.22751496681533
9.2,10.6,2.2,23.6,20.0,26.8,0.0,0.5,14.0,35.0,0.14,0.06,2.0,16.0,0.105,0.1,0.1,0.45,1.1,2.0,4.8,5.0,22.0,20.0,4.7,2.3,0.9,4.2,0.98,4.3,6.5191012138905
35.6,2.2,4.6,10.4,4.4,35.2,0.0,0.5,14.0,34.0,0.14,0.06,2.0,9.0,0.105,0.07,0.1,0.43,0.4,1.1,2.6,3.6,30.0,7.0,3.9,1.7,1.5,3.1,0.1,1.0,12.4501080336579
9.2,4.6,2.2,14.0,22.4,31.6,0.0,0.51,14.0,34.0,0.105,0.09,2.0,30.0,0.14,0.01,0.1,0.2,1.1,3.4,4.5,4.7,23.0,1.0,0.7,4.7,2.1,2.2,1.08,2.4,7.9271285254061
18.8,1.0,1.0,15.2,14.0,25.6,0.0,0.5,14.0,35.0,0.105,0.08,2.0,11.0,0.175,0.09,0.1,0.27,1.1,3.8,4.8,4.8,28.0,15.0,3.1,3.8,3.1,4.9,0.34,3.6,8.32470061132989
18.8,13.0,1.0,9.2,3.2,50.8,0.0,0.51,14.0,26.0,0.07,0.04,2.0,17.0,0.105,0.08,0.1,0.17,0.3,1.7,1.2,4.3,21.0,10.0,3.8,1.6,1.6,3.7,0.25,1.0,7.63199386642785
20.0,3.4,1.0,20.0,5.6,28.0,0.0,0.51,14.0,29.0,0.14,0.03,2.0,20.0,0.175,0.02,0.1,0.41,0.5,0.5,2.8,2.6,5.0,6.0,4.0,4.5,2.9,1.1,0.17,2.5,8.94309754065786
