w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,Lrx2_uH
18.8,5.8,1.0,4.4,4.4,53.2,0.0,0.51,14.0,28.0,0.175,0.05,2.0,24.0,0.105,0.06,0.1,0.16,0.4,1.3,2.5,1.9,12.0,22.0,1.5,4.2,3.9,0.1,0.19,1.6,6.20155823039619
5.6,7.0,3.4,9.2,12.8,11.2,0.0,0.5,14.0,29.0,0.07,0.04,2.0,26.0,0.07,0.04,0.1,0.45,1.0,1.5,2.5,2.9,24.0,17.0,4.2,4.9,3.6,0.5,0.9,2.2,3.89029530626116
5.6,11.8,3.4,14.0,8.0,14.8,0.0,0.5,14.0,6.0,0.07,0.06,2.0,20.0,0.175,0.04,0.1,0.2,0.5,0.5,4.1,4.4,27.0,1.0,3.3,1.5,3.0,3.8,0.26,3.0,5.57889307733287
4.4,10.6,4.6,4.4,6.8,49.6,0.0,0.5,14.0,21.0,0.14,0.02,2.0,30.0,0.14,0.08,0.1,0.48,0.5,0.5,2.7,2.6,9.0,29.0,1.9,4.9,4.7,3.1,0.47,1.5,1.9641126666886
17.6,2.2,1.0,22.4,8.0,43.6,0.0,0.5,14.0,25.0,0.175,0.08,2.0,12.0,0.07,0.05,0.1,0.39,0.8,0.9,3.0,2.2,27.0,7.0,4.0,4.9,1.2,4.8,0.65,1.5,8.18128702092705
11.6,4.6,1.0,5.6,11.6,36.4,0.0,0.51,14.0,22.0,0.105,0.06,2.0,26.0,0.14,0.04,0.1,0.17,1.0,2.2,5.0,4.2,28.0,19.0,4.5,2.6,0.9,2.2,0.58,2.1,4.31015485816258
17.6,1.0,1.0,17.6,9.2,38.8,0.0,0.5,14.0,28.0,0.105,0.09,2.0,12.0,0.07,0.06,0.1,0.15,0.7,2.2,3.4,4.4,15.0,24.0,1.0,2.5,4.6,0.6,0.39,2.7,5.12820005463877
17.6,1.0,1.0,17.6,9.2,38.8,0.0,0.5,14.0,28.0,0.105,0.09,2.0,12.0,0.07,0.06,0.1,0.15,0.7,2.2,3.4,4.4,15.0,24.0,1.0,2.5,4.6,0.6,0.39,2.7,5.12820005463877
17.6,1.0,1.0,17.6,9.2,38.8,0.0,0.5,14.0,28.0,0.105,0.09,2.0,12.0,0.07,0.06,0.1,0.15,0.7,2.2,3.4,4.4,15.0,24.0,1.0,2.5,4.6,0.6,0.39,2.7,5.12820005463877
9.2,10.6,2.2,23.6,20.0,26.8,0.0,0.5,14.0,35.0,0.14,0.06,2.0,16.0,0.105,0.1,0.1,0.45,1.1,2.0,4.8,5.0,22.0,20.0,4.7,2.3,0.9,4.2,0.98,4.3,9.0138838095813
35.6,2.2,4.6,10.4,4.4,35.2,0.0,0.5,14.0,34.0,0.14,0.06,2.0,9.0,0.105,0.07,0.1,0.43,0.4,1.1,2.6,3.6,30.0,7.0,3.9,1.7,1.5,3.1,0.1,1.0,13.697265283364
9.2,4.6,2.2,14.0,22.4,31.6,0.0,0.51,14.0,34.0,0.105,0.09,2.0,30.0,0.14,0.01,0.1,0.2,1.1,3.4,4.5,4.7,23.0,1.0,0.7,4.7,2.1,2.2,1.08,2.4,5.55810865669632
18.8,1.0,1.0,15.2,14.0,25.6,0.0,0.5,14.0,35.0,0.105,0.08,2.0,11.0,0.175,0.09,0.1,0.27,1.1,3.8,4.8,4.8,28.0,15.0,3.1,3.8,3.1,4.9,0.34,3.6,5.20471490973391
18.8,13.0,1.0,9.2,3.2,50.8,0.0,0.51,14.0,26.0,0.07,0.04,2.0,17.0,0.105,0.08,0.1,0.17,0.3,1.7,1.2,4.3,21.0,10.0,3.8,1.6,1.6,3.7,0.25,1.0,12.2414892523253
20.0,3.4,1.0,20.0,5.6,28.0,0.0,0.51,14.0,29.0,0.14,0.03,2.0,20.0,0.175,0.02,0.1,0.41,0.5,0.5,2.8,2.6,5.0,6.0,4.0,4.5,2.9,1.1,0.17,2.5,11.2190957320129
20.0,3.4,1.0,20.0,5.6,28.0,0.0,0.51,14.0,29.0,0.14,0.03,2.0,20.0,0.175,0.02,0.1,0.41,0.5,0.5,2.8,2.6,5.0,6.0,4.0,4.5,2.9,1.1,0.17,2.5,11.2190957320129
20.0,3.4,1.0,20.0,5.6,28.0,0.0,0.51,14.0,29.0,0.14,0.03,2.0,20.0,0.175,0.02,0.1,0.41,0.5,0.5,2.8,2.6,5.0,6.0,4.0,4.5,2.9,1.1,0.17,2.5,11.2190957320129
9.2,1.0,9.4,3.2,10.4,44.8,0.0,0.5,14.0,26.0,0.105,0.05,2.0,22.0,0.035,0.03,0.1,0.16,1.0,1.3,1.8,3.9,4.0,23.0,0.2,0.4,2.3,2.4,0.95,1.7,1.92370283781113
3.2,1.0,5.8,9.2,9.2,34.0,0.0,0.51,14.0,23.0,0.14,0.01,2.0,10.0,0.07,0.01,0.1,0.42,0.7,2.3,4.4,4.4,2.0,30.0,4.3,0.3,3.1,0.9,0.65,3.1,1.32863721328199
21.2,3.4,1.0,3.2,6.8,20.8,0.0,0.5,14.0,24.0,0.035,0.03,2.0,28.0,0.105,0.08,0.1,0.16,0.9,0.3,2.7,4.5,7.0,21.0,4.8,3.7,3.7,3.0,0.13,2.2,5.34241385389266
4.4,4.6,4.6,14.0,6.8,30.4,0.0,0.51,14.0,31.0,0.105,0.03,2.0,30.0,0.14,0.07,0.1,0.48,0.8,3.2,3.0,4.6,21.0,9.0,1.8,1.8,3.4,1.4,0.73,2.5,3.28218566206508
21.2,5.8,1.0,6.8,3.2,13.6,0.0,0.5,14.0,28.0,0.035,0.01,2.0,7.0,0.07,0.06,0.1,0.22,0.4,0.8,1.4,2.1,13.0,26.0,4.0,1.1,1.0,3.5,0.19,1.3,10.104991111626
21.2,4.6,1.0,9.2,12.8,47.2,0.0,0.5,14.0,35.0,0.105,0.05,2.0,26.0,0.175,0.02,0.1,0.39,1.3,1.0,2.6,2.9,23.0,19.0,4.7,0.6,3.6,0.3,0.56,2.5,9.43712845486203
3.2,2.2,7.0,10.4,3.2,22.0,0.0,0.51,14.0,12.0,0.175,0.1,2.0,5.0,0.175,0.02,0.1,0.35,0.3,0.4,1.3,3.2,16.0,3.0,4.3,1.6,3.2,3.7,0.29,1.2,1.760488535845
22.4,3.4,1.0,9.2,3.2,50.8,0.0,0.51,14.0,7.0,0.105,0.01,2.0,12.0,0.105,0.03,0.1,0.25,0.2,0.3,1.8,4.5,22.0,11.0,1.4,4.1,4.2,3.0,0.19,1.0,9.40705867429491
